,Mar 2009,Mar 2010,Mar 2011,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,4,5,8,13,14,15,15,15,15,15,15
Reserves,5,7,10,42,35,29,6,-17,-37,-43,-48
Borrowings +,11,10,15,73,130,127,127,112,97,145,146
Other Liabilities +,4,5,10,72,35,29,50,80,106,62,68
Total Liabilities,24,28,44,201,215,200,198,190,180,178,181
Fixed Assets +,11,11,11,158,151,156,148,140,132,125,120
CWIP,0,0,12,8,10,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,13,17,21,35,54,43,50,50,48,54,60
Total Assets,24,28,44,201,215,200,198,190,180,178,181
