,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,193,222,259,262,312,299,322,304,324,311,258,426,467
Expenses +,159,189,212,215,262,238,267,251,272,260,201,347,396
Operating Profit,34,33,47,47,50,62,55,53,52,51,57,79,72
OPM %,18%,15%,18%,18%,16%,21%,17%,18%,16%,16%,22%,19%,15%
Other Income +,2,1,2,9,12,11,27,20,17,18,16,17,15
Interest,2,3,6,7,6,6,8,8,9,12,12,5,4
Depreciation,7,8,8,11,14,15,20,20,22,25,26,27,28
Profit before tax,27,23,35,38,40,51,54,45,38,32,35,65,55
Tax %,18%,19%,20%,26%,30%,11%,36%,47%,34%,8%,25%,28%,
Net Profit,23,19,28,28,28,45,34,24,26,29,27,47,40
EPS in Rs,3.24,2.72,4.03,3.99,3.35,5.39,4.08,2.89,3.04,3.52,3.14,5.67,4.75
