,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,32,32,32,32,32,32,32,32,32,32,32,32,32
Reserves,226,236,245,238,223,186,158,144,106,173,163,871,852
Borrowings +,1,6,3,0,5,19,21,12,2,8,12,2,10
Other Liabilities +,30,44,35,39,22,20,40,48,91,103,85,373,363
Total Liabilities,289,317,315,309,281,256,251,235,230,316,293,"1,278","1,257"
Fixed Assets +,21,19,94,117,137,126,125,117,116,114,110,93,109
CWIP,3,6,8,0,3,0,0,1,1,0,0,0,5
Investments,38,44,64,41,22,10,17,46,36,56,43,666,526
Other Assets +,227,249,148,151,119,120,110,71,77,146,139,518,617
Total Assets,289,317,315,309,281,256,251,235,230,316,293,"1,278","1,257"
