,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Share Capital +,156,179,134,135,235,235,235
Reserves,"4,160","5,566","7,103","-1,015","1,646","1,490","2,752"
Borrowings +,103,148,217,814,42,32,29
Other Liabilities +,810,"1,048","1,450","4,117","3,662","4,347","3,946"
Total Liabilities,"5,137","6,895","8,904","4,052","5,585","6,104","6,962"
Fixed Assets +,477,521,818,850,613,681,809
CWIP,80,302,461,389,373,235,201
Investments,0,0,0,0,627,435,97
Other Assets +,"4,580","6,073","7,624","2,813","3,972","4,753","5,856"
Total Assets,"5,137","6,895","8,904","4,052","5,585","6,104","6,962"
