,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,38.63,45.60,39.65,35.16,47.11,51.23,58.01,56.51,62.41
Expenses +,27.50,31.40,29.31,25.73,33.55,39.42,46.57,45.28,50.93
Operating Profit,11.13,14.20,10.34,9.43,13.56,11.81,11.44,11.23,11.48
OPM %,28.81%,31.14%,26.08%,26.82%,28.78%,23.05%,19.72%,19.87%,18.39%
Other Income +,0.03,0.19,-0.72,-0.28,0.54,3.03,0.40,0.47,0.69
Interest,1.95,2.95,3.76,2.54,2.84,3.29,3.93,3.66,3.24
Depreciation,2.14,2.45,2.95,2.15,2.33,2.56,3.11,3.58,5.07
Profit before tax,7.07,8.99,2.91,4.46,8.93,8.99,4.80,4.46,3.86
Tax %,39.18%,36.60%,83.51%,43.05%,34.94%,24.03%,22.08%,137.44%,27.72%
Net Profit,4.30,5.70,0.48,2.54,5.81,6.83,3.74,-1.67,2.79
EPS in Rs,,,,,4.87,5.73,3.14,-1.40,2.34
