,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,311","4,050","3,447","3,469","3,873","4,425","3,703","4,995","5,631"
Expenses +,"3,396","2,688","2,667","2,793","3,160","3,283","2,544","3,465","4,220"
Operating Profit,916,"1,362",780,677,713,"1,143","1,159","1,530","1,411"
OPM %,21%,34%,23%,20%,18%,26%,31%,31%,25%
Other Income +,395,193,185,196,292,277,204,175,221
Interest,239,195,174,180,362,367,22,161,190
Depreciation,801,542,566,610,658,671,628,635,682
Profit before tax,270,818,226,82,-16,382,713,909,761
Tax %,28%,4%,19%,-273%,-304%,12%,2%,5%,
Net Profit,195,782,182,306,-63,336,696,865,702
EPS in Rs,4.19,16.78,3.92,6.58,-1.35,7.22,14.94,18.57,15.08
