,Mar 2011,Mar 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,44,44,44,344,386,331,937,972,972,972,972,972,"1,322"
Reserves,460,688,238,-268,-365,60,204,258,288,212,32,-234,-219
Borrowings +,"1,342","2,054","1,578","1,723","2,122","1,967",841,800,657,684,836,981,449
Other Liabilities +,867,"1,140",623,887,784,593,883,"1,121","1,055",735,577,505,421
Total Liabilities,"2,714","3,927","2,484","2,387","2,627","2,951","2,865","3,151","2,971","2,603","2,416","2,223","1,973"
Fixed Assets +,223,218,45,43,41,55,61,56,55,51,45,41,38
CWIP,2,5,9,27,29,10,0,0,0,0,0,0,0
Investments,188,416,282,17,5,5,1,1,1,1,1,1,0
Other Assets +,"2,301","3,288","2,148","2,300","2,552","2,880","2,803","3,094","2,915","2,551","2,370","2,182","1,934"
Total Assets,"2,714","3,927","2,484","2,387","2,627","2,951","2,865","3,151","2,971","2,603","2,416","2,223","1,973"
