,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,13,13,13,13,13,12,12,12,12
Reserves,351,401,430,592,713,881,"1,019","1,143","1,255","1,393"
Borrowings +,434,329,302,171,149,97,10,8,4,4
Other Liabilities +,322,380,391,343,406,446,407,355,388,410
Total Liabilities,"1,118","1,123","1,135","1,118","1,281","1,436","1,448","1,518","1,660","1,819"
Fixed Assets +,726,661,638,650,686,685,688,747,828,813
CWIP,2,13,50,41,27,23,31,32,14,19
Investments,11,43,47,93,108,107,103,152,178,185
Other Assets +,379,405,399,335,460,621,626,585,640,802
Total Assets,"1,118","1,123","1,135","1,118","1,281","1,436","1,448","1,518","1,660","1,819"
