,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,987,"1,092","1,221","1,359","1,550","1,680","1,889","2,066","2,121","2,437","2,982","3,096"
Expenses +,931,"1,012","1,136","1,268","1,374","1,484","1,672","1,855","1,821","2,073","2,667","2,785"
Operating Profit,56,80,85,91,176,196,217,211,300,364,315,311
OPM %,6%,7%,7%,7%,11%,12%,11%,10%,14%,15%,11%,10%
Other Income +,6,14,0,11,16,23,21,28,28,50,79,84
Interest,24,23,19,16,12,11,9,10,13,18,17,18
Depreciation,25,31,30,28,29,30,35,40,59,73,81,85
Profit before tax,12,40,36,58,152,178,193,189,256,324,296,292
Tax %,35%,22%,23%,26%,31%,29%,31%,29%,24%,26%,26%,
Net Profit,8,31,28,43,105,126,134,134,194,240,219,213
EPS in Rs,2.34,9.32,8.57,13.13,32.22,12.86,13.70,13.70,19.82,24.36,22.27,21.64
