,Mar 2009,Mar 2010,Sep 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
Reserves,37.37,-20.47,-35.18,-45.22,-65.69,-66.25,-71.82,-80.89
Borrowings +,129.76,152.96,139.92,138.63,138.70,138.05,138.05,143.02
Other Liabilities +,61.83,55.03,18.41,17.48,17.66,16.48,16.68,11.49
Total Liabilities,241.46,200.02,135.65,123.39,103.17,100.78,95.41,86.12
Fixed Assets +,66.06,59.75,46.19,44.42,40.84,37.30,33.76,29.17
CWIP,9.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,2.43,2.53,2.55,2.55,2.55,0.00,0.00,0.00
Other Assets +,163.79,137.74,86.91,76.42,59.78,63.48,61.65,56.95
Total Assets,241.46,200.02,135.65,123.39,103.17,100.78,95.41,86.12
