,Mar 2009,Mar 2010,Sep 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,150.52,76.91,13.41,2.36,2.15,0.33,0.61,0.23
Expenses +,158.88,113.96,31.57,11.57,19.99,1.73,2.20,5.56
Operating Profit,-8.36,-37.05,-18.16,-9.21,-17.84,-1.40,-1.59,-5.33
OPM %,-5.55%,-48.17%,-135.42%,-390.25%,-829.77%,-424.24%,-260.66%,"-2,317.39%"
Other Income +,5.57,5.99,-12.48,0.75,0.23,3.62,0.00,0.10
Interest,14.10,14.60,0.09,0.02,0.11,0.01,1.27,0.46
Depreciation,5.54,8.14,7.84,1.77,3.54,3.54,3.54,4.31
Profit before tax,-22.43,-53.80,-38.57,-10.25,-21.26,-1.33,-6.40,-10.00
Tax %,50.96%,17.32%,11.30%,2.05%,3.72%,58.65%,13.12%,11.80%
Net Profit,-11.00,-44.48,-34.21,-10.05,-20.47,-0.56,-5.57,-8.82
EPS in Rs,-8.80,-35.58,-27.37,-8.04,-16.38,-0.45,-4.46,-7.06
