,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,4,4,11,11,11,14,14
Reserves,50,60,71,70,58,62,180,134,295,262,212,357,353
Borrowings +,60,69,88,110,130,137,171,179,154,121,131,145,99
Other Liabilities +,139,171,204,198,191,188,180,177,135,142,152,151,113
Total Liabilities,252,303,367,381,382,391,535,494,594,536,506,668,580
Fixed Assets +,39,38,37,37,76,75,222,250,246,295,283,275,272
CWIP,0,1,8,18,1,6,14,1,24,0,0,0,1
Investments,0,0,0,0,0,0,3,0,0,0,0,0,0
Other Assets +,213,264,321,327,305,311,296,244,325,241,222,393,307
Total Assets,252,303,367,381,382,391,535,494,594,536,506,668,580
