,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,97,98,118,136,157,241,300,379,469,359,425,567,643
Borrowings +,83,92,96,106,126,121,59,0,0,11,12,12,25
Other Liabilities +,127,119,122,145,149,179,207,232,246,247,530,480,646
Total Liabilities,313,315,342,392,438,547,572,616,721,622,973,"1,066","1,320"
Fixed Assets +,117,128,151,181,229,243,204,179,194,186,179,156,195
CWIP,27,32,23,21,11,4,1,0,0,1,0,0,0
Investments,10,10,11,13,14,47,100,136,121,40,41,78,114
Other Assets +,159,145,157,177,184,253,267,301,406,395,753,832,"1,010"
Total Assets,313,315,342,392,438,547,572,616,721,622,973,"1,066","1,320"
