,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Sep 2015
Share Capital +,10,10,10,10,10,10,11,11,11,12,13
Reserves,168,212,230,97,108,74,208,261,291,347,438
Borrowings +,79,192,257,339,327,329,353,506,692,739,582
Other Liabilities +,94,219,167,219,220,235,287,266,332,383,462
Total Liabilities,351,632,663,664,663,648,860,"1,044","1,327","1,482","1,496"
Fixed Assets +,175,214,255,269,244,248,278,365,383,529,638
CWIP,2,21,55,35,30,12,52,81,114,76,0
Investments,5,0,0,0,0,0,0,1,7,16,26
Other Assets +,169,397,352,360,389,387,529,598,823,861,832
Total Assets,351,632,663,664,663,648,860,"1,044","1,327","1,482","1,496"
