,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,4,7,7,7,7,7
Reserves,8,11,7,45,158,169,172,270,274
Borrowings +,0,31,32,22,20,10,29,38,46
Other Liabilities +,11,36,52,81,103,142,155,172,192
Total Liabilities,23,81,94,152,288,328,363,488,520
Fixed Assets +,7,27,27,40,41,52,210,221,219
CWIP,-0,-0,0,0,26,102,-0,3,11
Investments,-0,0,0,0,-0,-0,-0,-0,-0
Other Assets +,16,53,66,111,222,175,153,264,289
Total Assets,23,81,94,152,288,328,363,488,520
