,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,644,928,"1,158","1,535","1,798","2,393","1,818",783,701,449,312,193
Expenses +,556,802,995,"1,341","1,539","1,907","1,751","1,584","1,158",441,341,218
Operating Profit,88,126,163,194,259,486,67,-802,-457,8,-29,-25
OPM %,14%,14%,14%,13%,14%,20%,4%,-102%,-65%,2%,-9%,-13%
Other Income +,5,9,11,11,15,-50,24,456,-188,-61,-145,-3
Interest,28,44,68,74,107,205,357,199,172,3,3,2
Depreciation,15,22,25,27,37,62,102,79,112,96,90,88
Profit before tax,51,68,81,105,129,169,-368,-625,-930,-151,-266,-118
Tax %,20%,15%,22%,13%,20%,35%,-13%,-0%,-0%,0%,0%,0%
Net Profit,41,58,63,92,104,110,-416,-625,-930,-151,-266,-118
EPS in Rs,28.17,38.99,40.41,45.91,49.36,39.32,-145.95,-219.41,-326.74,-53.08,-93.58,-41.47
