,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,41,41,41,42,42,42,42,44,44,44,55,55,55
Reserves,460,475,459,449,487,473,437,860,871,23,65,21,66
Borrowings +,263,436,498,645,751,829,885,125,74,"2,247","2,106","2,115","2,105"
Other Liabilities +,397,455,535,641,702,688,692,758,"1,486","1,768","1,290","1,591","1,996"
Total Liabilities,"1,161","1,406","1,534","1,777","1,981","2,032","2,056","1,788","2,476","4,081","3,516","3,783","4,221"
Fixed Assets +,587,715,741,860,903,907,922,673,615,"1,901","1,721","1,723","1,760"
CWIP,43,32,32,37,28,33,20,18,35,44,3,14,36
Investments,0,0,0,0,0,39,20,282,258,191,128,146,115
Other Assets +,532,659,761,881,"1,051","1,053","1,094",814,"1,567","1,945","1,664","1,899","2,310"
Total Assets,"1,161","1,406","1,534","1,777","1,981","2,032","2,056","1,788","2,476","4,081","3,516","3,783","4,221"
