,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,35,35,35,35,35,35,35,36,36,36,36
Reserves,"3,809","4,676","5,241","6,811","7,663","8,862","9,636","13,133","15,361","17,424","17,925"
Borrowings +,"1,288","1,200",917,881,"1,293","3,403","2,803","3,146","2,230","2,129","2,933"
Other Liabilities +,"1,028","1,418","1,805","1,737","2,175","2,842","3,019","3,629","3,886","4,159","4,364"
Total Liabilities,"6,160","7,329","7,998","9,463","11,166","15,142","15,493","19,944","21,513","23,749","25,257"
Fixed Assets +,"1,782","2,194","3,004","3,050","2,599","3,589","6,182","6,163","6,216","7,282","7,406"
CWIP,133,758,511,264,710,"1,427","1,129","1,197",997,"1,054","1,691"
Investments,"2,203","2,244","1,662","3,030","4,042","5,434","2,286","6,358","8,500","9,033","8,801"
Other Assets +,"2,042","2,132","2,820","3,118","3,814","4,691","5,896","6,227","5,800","6,380","7,359"
Total Assets,"6,160","7,329","7,998","9,463","11,166","15,142","15,493","19,944","21,513","23,749","25,257"
