,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,22,22,22,22,22,22,22,22,22,22
Reserves,368,440,478,538,585,673,772,891,"1,004","1,048","1,126","1,233","1,354"
Borrowings +,223,328,431,381,310,289,226,179,97,135,146,157,266
Other Liabilities +,204,253,248,253,272,308,334,398,445,352,409,438,510
Total Liabilities,817,"1,044","1,179","1,194","1,189","1,292","1,354","1,491","1,568","1,558","1,704","1,850","2,153"
Fixed Assets +,457,555,725,713,667,597,577,555,613,741,703,689,671
CWIP,35,74,24,9,4,6,9,11,17,19,8,6,5
Investments,-0,-0,-0,-0,-0,18,8,20,6,61,34,32,20
Other Assets +,326,416,430,472,518,672,760,904,934,737,959,"1,124","1,457"
Total Assets,817,"1,044","1,179","1,194","1,189","1,292","1,354","1,491","1,568","1,558","1,704","1,850","2,153"
