,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,40,40,40,40,40,40,40,40,40,40,40,40,40
Reserves,355,402,421,441,439,443,345,353,343,336,355,383,378
Borrowings +,61,93,103,73,48,60,89,97,119,96,79,95,117
Other Liabilities +,82,110,112,119,84,76,105,114,184,133,72,140,82
Total Liabilities,537,643,675,673,610,619,578,604,685,605,546,656,617
Fixed Assets +,34,57,60,64,59,57,183,203,151,168,168,141,137
CWIP,0,0,2,0,1,2,12,0,0,1,0,0,0
Investments,53,98,100,100,100,100,54,34,26,20,37,70,61
Other Assets +,449,488,513,509,451,460,329,367,507,417,340,445,419
Total Assets,537,643,675,673,610,619,578,604,685,605,546,656,617
