,Sep 2009,Sep 2010,Sep 2011,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022
Sales +,"9,286","9,620","11,955","10,678","10,563","10,837","11,065","12,795","13,084","9,946","13,639","16,138"
Expenses +,"8,460","8,441","10,784","10,559","9,565","9,815","10,008","11,468","11,594","8,944","12,121","14,380"
Operating Profit,826,"1,179","1,171",119,998,"1,021","1,056","1,327","1,490","1,003","1,518","1,757"
OPM %,9%,12%,10%,1%,9%,9%,10%,10%,11%,10%,11%,11%
Other Income +,454,216,299,985,943,"3,156",818,280,398,315,267,589
Interest,19,20,26,31,30,11,8,8,12,30,25,36
Depreciation,173,169,154,229,224,228,198,198,199,252,300,317
Profit before tax,"1,088","1,207","1,290",844,"1,688","3,938","1,669","1,402","1,678","1,036","1,460","1,993"
Tax %,36%,37%,33%,28%,30%,26%,32%,36%,34%,26%,25%,23%
Net Profit,700,757,868,603,"1,174","2,914","1,137",901,"1,099",769,"1,090","1,543"
EPS in Rs,,,,16.94,32.98,81.82,31.92,25.31,30.87,21.58,30.62,43.33
