,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,824","6,010","5,897","5,615","6,202","5,894","5,612","5,767","6,117","4,026","2,200","2,047","2,039"
Expenses +,"4,403","5,552","5,431","5,095","5,600","5,184","4,972","5,119","5,408","3,921","2,193","2,033","2,075"
Operating Profit,420,458,466,520,603,710,640,648,709,105,7,14,-36
OPM %,9%,8%,8%,9%,10%,12%,11%,11%,12%,3%,0%,1%,-2%
Other Income +,24,20,42,41,32,73,157,134,113,67,59,44,101
Interest,148,232,290,335,393,429,445,452,471,517,644,755,798
Depreciation,96,119,135,140,154,206,199,184,168,138,125,105,94
Profit before tax,200,127,83,86,87,149,153,147,183,-483,-702,-801,-826
Tax %,37%,35%,37%,31%,39%,29%,12%,23%,33%,34%,33%,34%,
Net Profit,126,82,52,59,53,105,134,113,122,-321,-469,-527,-532
EPS in Rs,25.18,16.91,10.76,11.82,11.59,21.75,27.65,22.81,21.40,-56.14,-82.13,-92.42,-93.39
