,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,6,6,6,69,73,73,73,74,74,74
Reserves,259,311,386,385,443,522,955,"1,177","1,315","1,757","1,998","2,105"
Borrowings +,233,209,247,444,446,700,557,975,"1,214","1,473","1,451","1,612"
Other Liabilities +,446,513,517,628,580,720,"1,186","1,964","1,998","1,689","1,537","1,703"
Total Liabilities,943,"1,037","1,156","1,463","1,475","2,010","2,772","4,189","4,600","4,992","5,059","5,494"
Fixed Assets +,209,231,251,329,308,400,717,"1,575","1,659","1,560","1,602","1,596"
CWIP,5,6,8,7,0,4,5,9,13,17,23,5
Investments,10,11,11,10,12,97,92,121,93,94,96,105
Other Assets +,719,788,885,"1,117","1,155","1,509","1,957","2,485","2,835","3,322","3,338","3,787"
Total Assets,943,"1,037","1,156","1,463","1,475","2,010","2,772","4,189","4,600","4,992","5,059","5,494"
