,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,45,45,45,52,68,79,87,87,87,87,87,87,87
Reserves,-37,-128,-192,-158,115,370,450,256,111,-92,-332,-584,-723
Borrowings +,349,448,909,"1,262","1,395","1,135","1,371","1,448","1,454","1,179","1,018",983,946
Other Liabilities +,207,199,433,667,658,"1,347","1,231","1,298","1,161","1,201","1,085","1,162","1,245"
Total Liabilities,564,564,"1,196","1,823","2,236","2,931","3,139","3,089","2,813","2,375","1,858","1,649","1,556"
Fixed Assets +,158,184,451,768,895,"1,389","1,711","2,031","1,762","1,508","1,236","1,007",885
CWIP,12,12,69,170,199,538,429,153,99,59,55,86,75
Investments,1,2,2,2,2,2,5,5,15,20,11,14,3
Other Assets +,394,366,674,883,"1,141","1,001",993,901,937,788,555,542,593
Total Assets,564,564,"1,196","1,823","2,236","2,931","3,139","3,089","2,813","2,375","1,858","1,649","1,556"
