,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,9,9,9
Reserves,498,669,746,753,758,925,"1,021"
Borrowings +,408,573,444,433,139,223,252
Other Liabilities +,280,302,303,308,304,356,356
Total Liabilities,"1,196","1,553","1,502","1,503","1,210","1,513","1,639"
Fixed Assets +,414,443,523,552,490,501,471
CWIP,5,93,8,4,3,2,20
Investments,6,25,17,17,37,38,59
Other Assets +,770,993,954,931,681,972,"1,088"
Total Assets,"1,196","1,553","1,502","1,503","1,210","1,513","1,639"
