,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,605","1,733","1,816","1,699","1,089","1,905","2,226"
Expenses +,"1,415","1,488","1,577","1,532","1,035","1,572","1,836"
Operating Profit,189,245,240,167,54,333,390
OPM %,12%,14%,13%,10%,5%,17%,18%
Other Income +,15,20,23,34,41,34,37
Interest,31,34,48,43,30,18,18
Depreciation,43,61,62,73,61,59,58
Profit before tax,130,170,152,85,3,291,352
Tax %,35%,35%,35%,19%,-3%,26%,
Net Profit,85,111,99,69,4,216,262
EPS in Rs,18.10,23.64,21.14,14.77,0.76,46.14,55.86
