,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,26,26,26,26,26,26,26,26,26
Reserves,24,12,13,20,42,64,65,66,70,73,88,94,111
Borrowings +,92,92,88,73,42,36,44,44,45,68,56,79,101
Other Liabilities +,29,38,33,31,40,43,37,45,41,36,39,33,46
Total Liabilities,171,168,160,149,151,169,172,181,183,204,210,233,285
Fixed Assets +,104,96,89,73,67,66,61,64,62,65,69,70,73
CWIP,0,0,0,0,0,1,3,2,5,3,2,1,4
Investments,1,0,0,1,1,1,1,1,1,0,16,16,4
Other Assets +,66,71,71,75,82,100,107,114,115,137,122,145,204
Total Assets,171,168,160,149,151,169,172,181,183,204,210,233,285
