,Mar 2007,Mar 2008,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,5,5,3,3,3,2,2
Reserves,183,205,162,417,408,399,320,312,243,180,191,163,163
Borrowings +,1,0,0,0,0,0,1,4,20,27,24,25,31
Other Liabilities +,69,66,39,26,33,29,21,21,19,19,13,19,65
Total Liabilities,259,278,207,449,446,434,346,341,285,229,230,209,261
Fixed Assets +,60,60,38,31,29,26,22,21,20,34,30,31,31
CWIP,5,1,0,0,0,0,0,0,0,2,2,2,2
Investments,72,104,88,159,268,281,259,273,209,161,165,110,136
Other Assets +,121,112,81,259,149,127,65,47,55,32,33,66,92
Total Assets,259,278,207,449,446,434,346,341,285,229,230,209,261
