,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,088","6,191","7,760","9,121","12,375","5,171","6,604","8,545"
Expenses +,"4,542","5,649","7,002","9,113","11,840","4,984","7,521","9,691"
Operating Profit,546,543,758,8,534,187,-917,"-1,147"
OPM %,11%,9%,10%,0%,4%,4%,-14%,-13%
Other Income +,210,149,124,79,811,948,949,757
Interest,126,66,93,134,546,604,483,504
Depreciation,180,199,231,256,"1,735","1,561","1,293","1,165"
Profit before tax,450,427,557,-302,-937,"-1,030","-1,744","-2,059"
Tax %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
Net Profit,450,427,557,-302,-937,"-1,030","-1,744","-2,059"
EPS in Rs,7.50,7.13,9.30,-5.04,-15.61,-17.14,-28.98,-34.22
