,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,8,8,8,8,8,8,8,8,43,10
Reserves,455,462,464,450,464,460,372,457,412,376,254,277,318
Borrowings +,730,769,834,"1,019",842,"1,206","1,236","1,406","1,446","1,528","1,844","1,812","1,731"
Other Liabilities +,765,774,882,"1,111","1,389","1,580","1,382","1,496","1,630","1,086",615,701,578
Total Liabilities,"1,958","2,014","2,189","2,588","2,703","3,253","2,998","3,367","3,496","2,998","2,720","2,799","2,636"
Fixed Assets +,232,220,225,208,319,643,308,303,291,122,117,133,127
CWIP,158,191,304,442,87,96,54,48,46,56,56,56,56
Investments,122,144,138,133,180,142,194,152,172,119,70,65,63
Other Assets +,"1,445","1,458","1,520","1,805","2,116","2,372","2,442","2,863","2,986","2,701","2,478","2,545","2,391"
Total Assets,"1,958","2,014","2,189","2,588","2,703","3,253","2,998","3,367","3,496","2,998","2,720","2,799","2,636"
