,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00
Reserves,-897.23,"-1,177.06","-1,566.82","-2,412.17","-1,882.67","-2,344.90","-3,075.67","-3,691.86","-4,573.26","-4,686.50","-4,733.42","-4,814.68","-4,799.05"
Borrowings +,"3,078.15","3,846.70","2,690.66","2,473.06","2,519.40","2,800.98","2,852.37","2,948.82","2,180.89","1,988.95","1,986.87","1,986.87","1,986.87"
Other Liabilities +,"4,959.92","3,783.50","3,318.21","3,211.20","3,978.78","4,341.79","4,452.88","5,125.82","5,140.09","5,136.95","5,047.54","5,075.00","5,081.22"
Total Liabilities,"7,200.84","6,513.14","4,502.05","3,332.09","4,675.51","4,857.87","4,289.58","4,442.78","2,807.72","2,499.40","2,360.99","2,307.19","2,329.04"
Fixed Assets +,62.80,60.05,65.15,68.93,964.46,949.88,934.04,917.63,903.86,886.71,871.33,0.00,0.00
CWIP,3.64,9.87,8.69,0.86,0.39,0.48,0.98,2.10,0.37,0.45,1.83,0.00,0.00
Investments,0.31,0.41,0.33,0.33,0.24,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets +,"7,134.09","6,442.81","4,427.88","3,261.97","3,710.42","3,907.47","3,354.55","3,523.04","1,903.48","1,612.23","1,487.82","2,307.18","2,329.03"
Total Assets,"7,200.84","6,513.14","4,502.05","3,332.09","4,675.51","4,857.87","4,289.58","4,442.78","2,807.72","2,499.40","2,360.99","2,307.19","2,329.04"
