,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,78,112,142,142,168,336,336,336
Reserves,"5,997","9,870","22,161","25,471","36,844","41,099","45,720","50,619"
Borrowings +,"5,165","4,610","5,075","7,014","9,260","11,729","15,694","19,277"
Other Liabilities +,"5,879","9,407","10,171","12,426","14,894","21,276","23,880","28,383"
Total Liabilities,"17,098","23,999","37,548","45,053","61,166","74,440","85,630","98,615"
Fixed Assets +,"7,789","8,318","9,975","10,232","12,266","21,397","25,471","26,971"
CWIP,761,"1,400","2,461","6,979","11,084","9,919","12,092","17,032"
Investments,"2,495","5,222","16,294","16,206","20,304","12,904","17,625","17,090"
Other Assets +,"6,053","9,059","8,818","11,636","17,511","30,220","30,442","37,523"
Total Assets,"17,098","23,999","37,548","45,053","61,166","74,440","85,630","98,615"
