,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,TTM
Sales +,"13,103","24,377","24,724","21,136","24,501","30,428","41,179","45,162","42,763"
Expenses +,"9,457","15,104","17,056","16,735","18,350","22,498","31,316","34,666","32,492"
Operating Profit,"3,646","9,273","7,669","4,400","6,151","7,930","9,863","10,497","10,271"
OPM %,28%,38%,31%,21%,25%,26%,24%,23%,24%
Other Income +,368,710,"1,699","2,513","1,533","2,584","2,691","3,325","3,750"
Interest,235,379,305,397,292,351,852,922,"1,272"
Depreciation,527,804,595,701,750,"1,030","1,830","2,032","2,039"
Profit before tax,"3,252","8,800","8,468","5,816","6,642","9,134","9,872","10,867","10,710"
Tax %,31%,27%,25%,15%,19%,20%,21%,15%,
Net Profit,"2,235","6,389","6,361","4,807","5,468","7,037","6,989","8,589","8,316"
EPS in Rs,,,,,44.55,15.00,14.36,18.03,17.23
