,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,12,12,13,13,13,13,13
Reserves,218,259,274,290,305,323,335,392,667,739,782,811,828
Borrowings +,218,342,350,414,420,390,404,385,244,155,52,33,24
Other Liabilities +,207,231,245,214,236,276,373,508,456,482,602,648,663
Total Liabilities,655,844,881,929,973,"1,001","1,125","1,297","1,380","1,388","1,449","1,505","1,528"
Fixed Assets +,268,387,446,484,537,563,497,670,690,765,745,726,776
CWIP,73,90,107,103,88,54,149,90,86,66,54,61,18
Investments,-0,-0,-0,-0,-0,-0,1,2,2,1,5,5,30
Other Assets +,314,367,328,342,348,384,477,536,603,555,646,712,703
Total Assets,655,844,881,929,973,"1,001","1,125","1,297","1,380","1,388","1,449","1,505","1,528"
