,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,29.06,29.07,44.52,31.39,53.87,48.71,47.04,66.08,77.89
Expenses +,18.45,20.91,36.25,17.48,43.72,34.12,59.27,60.19,66.76
Operating Profit,10.61,8.16,8.27,13.91,10.15,14.59,-12.23,5.89,11.13
OPM %,36.51%,28.07%,18.58%,44.31%,18.84%,29.95%,-26.00%,8.91%,14.29%
Other Income +,0.45,0.55,3.17,2.94,2.81,1.25,2.95,0.78,0.95
Interest,8.90,6.89,6.54,6.06,7.27,6.51,6.87,8.00,9.77
Depreciation,1.11,0.89,0.96,0.66,0.77,0.67,0.59,0.63,0.69
Profit before tax,1.05,0.93,3.94,10.13,4.92,8.66,-16.74,-1.96,1.62
Tax %,18.10%,19.35%,20.56%,23.49%,50.00%,25.87%,-26.94%,-69.39%,
Net Profit,0.85,0.75,3.13,7.75,6.07,5.98,-23.67,-5.02,-0.60
EPS in Rs,0.55,0.48,2.02,3.57,2.19,0.92,-7.34,-0.30,0.91
