,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,150.17,194.34,179.94,189.06,156.37,84.92,98.52,99.24,108.64,99.59,96.99
Expenses +,131.34,173.30,158.15,164.71,138.83,83.79,85.89,81.82,96.39,84.80,90.40
Operating Profit,18.83,21.04,21.79,24.35,17.54,1.13,12.63,17.42,12.25,14.79,6.59
OPM %,12.54%,10.83%,12.11%,12.88%,11.22%,1.33%,12.82%,17.55%,11.28%,14.85%,6.79%
Other Income +,1.45,2.03,2.27,3.74,1.33,-3.19,-6.50,-7.81,-15.85,2.05,4.71
Interest,6.56,7.97,12.80,17.15,17.96,16.06,12.31,11.19,8.93,7.40,9.89
Depreciation,3.21,4.78,5.27,6.83,6.91,5.29,3.99,3.06,2.69,2.83,4.11
Profit before tax,10.51,10.32,5.99,4.11,-6.00,-23.41,-10.17,-4.64,-15.22,6.61,-2.70
Tax %,26.36%,34.59%,19.20%,73.97%,40.33%,3.16%,14.26%,-33.19%,-23.92%,0.00%,0.00%
Net Profit,7.74,6.75,4.84,1.07,-3.59,-22.67,-8.72,-6.17,-18.86,6.61,-2.70
EPS in Rs,0.36,0.31,0.22,0.05,-0.17,-1.05,-0.40,-0.25,-0.69,0.21,-0.10
