,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,12,14,14,14,14,14,14
Reserves,388,386,388,536,"1,458","1,586","1,783","2,616","2,820","2,735","2,758","2,776","2,799"
Borrowings +,402,488,508,592,"1,071","1,234",944,568,635,921,688,787,636
Other Liabilities +,"1,285","1,596","1,805","1,713","1,679","1,340",940,457,458,503,588,"1,921","2,635"
Total Liabilities,"2,088","2,482","2,714","2,853","4,220","4,173","3,679","3,656","3,926","4,173","4,048","5,498","6,084"
Fixed Assets +,83,79,74,74,73,48,72,70,72,55,53,122,134
CWIP,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,10,7,-0
Investments,61,67,36,30,30,369,322,220,261,271,258,235,253
Other Assets +,"1,943","2,336","2,603","2,750","4,117","3,756","3,285","3,365","3,593","3,846","3,727","5,134","5,697"
Total Assets,"2,088","2,482","2,714","2,853","4,220","4,173","3,679","3,656","3,926","4,173","4,048","5,498","6,084"
