,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,37,"1,784","1,901","2,489","1,348","1,353","1,262","1,715","1,410"
Expenses +,37,"1,721","1,786","2,268","1,185","1,174","1,188","1,470","1,264"
Operating Profit,0,63,116,221,163,179,74,246,146
OPM %,1%,4%,6%,9%,12%,13%,6%,14%,10%
Other Income +,0,4,20,53,85,88,160,58,15
Interest,0,50,84,131,137,129,125,147,181
Depreciation,0,4,33,74,61,85,84,86,93
Profit before tax,0,12,19,69,51,53,25,71,-113
Tax %,38%,24%,8%,1%,9%,3%,1%,0%,
Net Profit,0,9,18,68,46,51,25,71,-113
EPS in Rs,0.02,0.69,1.39,5.37,3.65,4.04,1.96,5.64,0.77
