,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,14,14,14,14,14,14,14
Reserves,146,182,215,269,299,312,451,598,652,625,745,825,810
Borrowings +,0,7,-0,-0,-0,-0,19,26,188,210,219,254,187
Other Liabilities +,61,81,94,118,116,104,121,119,211,215,236,267,429
Total Liabilities,213,278,316,393,423,422,605,757,"1,065","1,064","1,214","1,361","1,440"
Fixed Assets +,70,70,70,70,68,77,79,82,237,318,354,355,344
CWIP,-0,0,4,8,-0,3,-0,-0,6,2,0,0,-0
Investments,12,62,99,199,242,162,292,422,458,412,484,500,782
Other Assets +,131,146,144,117,112,180,234,252,363,332,375,506,314
Total Assets,213,278,316,393,423,422,605,757,"1,065","1,064","1,214","1,361","1,440"
