,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13
Reserves,139,338,339,357,379,394,355,356,408
Borrowings +,86,270,255,227,197,209,225,214,177
Other Liabilities +,57,106,121,140,122,122,113,123,138
Total Liabilities,294,726,727,736,711,738,705,705,736
Fixed Assets +,205,454,440,427,416,436,423,409,402
CWIP,49,70,77,81,92,91,87,86,95
Investments,0,105,99,99,102,106,92,84,88
Other Assets +,40,96,111,130,101,106,102,127,150
Total Assets,294,726,727,736,711,738,705,705,736
