,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,13,15,15,15,15,15,15
Reserves,243,330,408,458,512,619,898,"1,314","1,504","1,561","1,110",166,133
Borrowings +,185,193,196,207,209,336,237,323,474,553,514,59,52
Other Liabilities +,147,206,220,185,189,246,221,189,339,336,187,984,106
Total Liabilities,588,741,837,862,922,"1,214","1,369","1,840","2,331","2,465","1,826","1,223",306
Fixed Assets +,267,339,368,384,359,543,554,589,"1,091","1,234",934,101,83
CWIP,4,1,3,2,17,3,21,42,41,1,0,3,6
Investments,50,50,50,50,6,21,10,59,10,18,7,0,0
Other Assets +,266,351,415,426,541,647,785,"1,150","1,188","1,213",885,"1,119",217
Total Assets,588,741,837,862,922,"1,214","1,369","1,840","2,331","2,465","1,826","1,223",306
