,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,75,85,94,107,115,119,143,167,186,186,235,290,317
Borrowings +,93,116,119,124,133,125,121,124,155,153,103,89,100
Other Liabilities +,119,109,105,102,124,139,116,161,144,128,179,179,190
Total Liabilities,299,322,330,346,384,396,393,465,498,480,529,570,620
Fixed Assets +,106,107,105,108,114,117,119,128,144,153,150,157,163
CWIP,2,1,4,10,9,1,2,3,7,1,3,3,3
Investments,1,2,3,4,6,7,54,63,61,53,73,98,109
Other Assets +,190,211,218,224,254,270,219,271,286,273,303,311,344
Total Assets,299,322,330,346,384,396,393,465,498,480,529,570,620
