,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,411,494,604,674,778,913,"1,038","1,104","1,162","1,236","1,351","1,500","1,692"
Borrowings +,743,738,915,973,902,896,780,990,"1,155","1,326","1,249","1,109","1,149"
Other Liabilities +,512,590,611,632,716,722,805,798,854,983,952,"1,061","1,196"
Total Liabilities,"1,685","1,840","2,149","2,297","2,414","2,550","2,642","2,910","3,189","3,564","3,571","3,689","4,056"
Fixed Assets +,"1,213","1,345","1,407","1,588","1,664","1,772","1,799","1,802","1,915","2,511","2,384","2,394","2,558"
CWIP,5,8,67,29,19,9,37,110,391,61,47,74,48
Investments,6,5,118,5,76,76,109,42,95,109,36,41,103
Other Assets +,461,483,557,675,655,693,697,955,787,882,"1,104","1,180","1,347"
Total Assets,"1,685","1,840","2,149","2,297","2,414","2,550","2,642","2,910","3,189","3,564","3,571","3,689","4,056"
