,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"11,932","14,196","17,213","17,714","19,913","18,149","17,620","16,772","16,525","17,068","17,100","16,725","17,533"
Expenses +,"10,691","12,405","15,153","15,708","16,919","15,714","15,214","14,359","13,780","13,779","12,840","12,498","13,203"
Operating Profit,"1,241","1,791","2,060","2,006","2,994","2,434","2,406","2,412","2,745","3,289","4,261","4,227","4,329"
OPM %,10%,13%,12%,11%,15%,13%,14%,14%,17%,19%,25%,25%,25%
Other Income +,170,145,331,717,291,82,"1,294",-116,62,-321,82,338,620
Interest,570,834,794,427,751,409,367,344,397,471,420,360,390
Depreciation,"1,548","1,820","2,027","1,852","2,161","1,864","1,866","1,906","2,068","2,358","2,314","2,205","2,232"
Profit before tax,-707,-718,-431,444,373,243,"1,467",46,343,140,"1,609","2,000","2,328"
Tax %,1%,-9%,-51%,77%,99%,96%,16%,778%,80%,162%,22%,26%,
Net Profit,-883,-788,-651,103,3,10,"1,235",-326,-80,-85,"1,252","1,485","1,843"
EPS in Rs,-27.26,-27.88,-21.87,3.56,0.05,0.30,43.26,-11.53,-2.89,-3.02,43.88,51.99,64.39
