,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Sep 2016
Share Capital +,25,25,25,25,125,125,125,125,125,25
Reserves,167,17,45,46,-67,-155,-145,-38,68,124
Borrowings +,111,487,335,464,593,524,353,279,311,210
Other Liabilities +,296,147,364,280,268,458,502,461,458,508
Total Liabilities,599,677,769,815,819,852,735,728,862,868
Fixed Assets +,243,234,391,368,352,318,392,362,353,388
CWIP,18,180,5,6,29,119,8,17,88,98
Investments,0,0,0,0,10,0,0,0,0,0
Other Assets +,338,263,374,441,427,416,335,349,421,381
Total Assets,599,677,769,815,819,852,735,728,862,868
