,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Sales +,796,777,790,574,557,800,992,"3,490","4,750"
Expenses +,676,632,690,549,496,617,847,"3,335","3,642"
Operating Profit,120,145,99,24,62,183,145,155,"1,108"
OPM %,15%,19%,13%,4%,11%,23%,15%,4%,23%
Other Income +,32,35,56,37,37,43,58,-82,69
Interest,8,13,5,5,2,3,3,293,235
Depreciation,18,18,13,13,13,12,12,311,327
Profit before tax,126,150,137,43,84,210,188,-530,615
Tax %,32%,32%,33%,26%,30%,33%,34%,3%,7%
Net Profit,85,101,92,32,59,141,124,-516,572
EPS in Rs,17.64,20.91,19.00,6.60,12.14,29.11,25.70,-114.46,126.83
