,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,50,50,67,67,67,67,67,67,67,67,67,67,67
Reserves,57,110,343,381,397,369,389,410,417,414,456,461,462
Borrowings +,207,208,419,568,588,650,549,569,606,637,438,588,574
Other Liabilities +,198,216,351,301,237,210,187,174,334,350,254,341,355
Total Liabilities,512,583,"1,181","1,316","1,289","1,296","1,192","1,219","1,423","1,468","1,215","1,457","1,456"
Fixed Assets +,51,51,90,97,108,109,103,103,111,174,140,152,151
CWIP,0,1,2,2,5,0,2,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,461,532,"1,089","1,218","1,176","1,187","1,088","1,116","1,312","1,294","1,075","1,305","1,305"
Total Assets,512,583,"1,181","1,316","1,289","1,296","1,192","1,219","1,423","1,468","1,215","1,457","1,456"
