,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,33,33,33,33,33,33,33,31,31,31,31,31
Reserves,163,427,461,474,461,440,437,416,385,402,445,499,525
Borrowings +,86,35,27,63,57,28,45,69,61,68,52,71,0
Other Liabilities +,396,391,321,397,345,292,233,190,271,257,257,306,300
Total Liabilities,669,885,842,968,896,793,749,708,748,757,785,907,856
Fixed Assets +,113,131,200,219,272,258,233,213,198,180,174,166,164
CWIP,2,13,16,54,0,1,1,1,1,1,1,1,2
Investments,0,0,0,0,0,0,0,0,10,20,20,20,20
Other Assets +,554,741,626,695,624,534,515,495,539,557,590,720,670
Total Assets,669,885,842,968,896,793,749,708,748,757,785,907,856
