,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,1,1,1,1,17,17,17,17,17,17,17,17
Reserves,21,104,100,118,148,294,349,425,522,555,635,676,737
Borrowings +,3,8,12,1,-0,19,1,7,11,124,23,60,88
Other Liabilities +,72,84,111,124,164,248,306,437,540,559,636,785,912
Total Liabilities,97,197,224,243,313,579,673,886,"1,090","1,255","1,311","1,538","1,754"
Fixed Assets +,21,19,11,11,5,11,107,138,152,265,255,262,315
CWIP,-0,-0,-0,-0,4,-0,-0,0,6,11,15,18,-0
Investments,-0,0,0,0,0,0,10,59,41,25,70,53,129
Other Assets +,75,177,213,233,303,567,556,689,890,954,971,"1,204","1,310"
Total Assets,97,197,224,243,313,579,673,886,"1,090","1,255","1,311","1,538","1,754"
