,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,140","5,490","6,873","18,802","22,621","26,494","29,141","30,773","34,742","36,868","37,855","44,646","49,404"
Expenses +,"3,721","4,572","5,451","14,630","18,428","22,234","24,956","26,063","28,471","31,365","31,059","36,626","41,432"
Operating Profit,"1,419",918,"1,422","4,172","4,193","4,260","4,184","4,710","6,271","5,503","6,796","8,020","7,972"
OPM %,28%,17%,21%,22%,19%,16%,14%,15%,18%,15%,18%,18%,16%
Other Income +,-287,30,-141,244,106,453,775,"1,417",534,"1,192",788,"1,115",960
Interest,111,103,103,80,69,97,129,162,133,192,174,163,208
Depreciation,144,161,200,522,611,759,978,"1,085","1,129","1,446","1,458","1,520","1,815"
Profit before tax,877,685,978,"3,815","3,618","3,857","3,853","4,879","5,543","5,058","5,953","7,452","6,909"
Tax %,15%,21%,24%,20%,27%,22%,26%,22%,23%,23%,27%,24%,
Net Profit,646,"1,099","1,307","3,062","2,659","3,027","2,851","3,786","4,289","3,897","4,353","5,630","5,370"
EPS in Rs,12.79,21.48,25.13,32.44,27.35,30.92,28.88,38.78,43.70,41.76,45.73,57.27,54.44
