,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,66,66,66,66,66,66,66,66,66
Reserves,381,360,282,311,335,396,547,670,703
Borrowings +,347,311,230,240,244,278,220,245,227
Other Liabilities +,103,114,180,159,149,149,185,189,176
Total Liabilities,889,843,749,767,785,881,"1,010","1,170","1,172"
Fixed Assets +,231,234,296,287,284,266,296,298,321
CWIP,17,8,8,5,4,9,7,10,19
Investments,83,71,73,60,77,158,201,199,206
Other Assets +,558,530,373,415,420,448,505,663,626
Total Assets,889,843,749,767,785,881,"1,010","1,170","1,172"
