,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,121,175,205,237,309,253,295,249,306,326,425,563,569
Expenses +,106,156,190,220,287,232,280,237,289,303,396,527,541
Operating Profit,16,19,15,17,22,20,15,12,17,22,29,35,28
OPM %,13%,11%,7%,7%,7%,8%,5%,5%,6%,7%,7%,6%,5%
Other Income +,2,1,1,2,2,2,4,4,2,0,1,1,1
Interest,6,9,9,10,13,13,12,10,10,11,9,9,10
Depreciation,2,5,5,5,5,6,7,5,6,6,6,8,10
Profit before tax,10,6,2,3,5,4,0,1,4,6,14,19,8
Tax %,30%,30%,44%,27%,31%,26%,562%,88%,18%,32%,23%,26%,
Net Profit,7,4,1,2,3,3,-1,0,3,4,11,14,6
EPS in Rs,6.02,1.76,0.53,0.78,1.43,1.39,-0.56,0.06,1.13,1.50,3.71,4.87,2.07
