,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29
Reserves,86.92,103.48,108.66,108.98,111.95,113.80,100.43,85.19,122.50,124.56,70.64,71.83
Borrowings +,19.65,99.08,112.69,129.54,131.13,132.89,126.88,111.40,102.65,12.45,11.73,13.16
Other Liabilities +,26.70,40.28,52.37,61.86,79.21,87.07,86.04,98.39,105.81,74.30,66.18,47.16
Total Liabilities,162.56,272.13,303.01,329.67,351.58,363.05,342.64,324.27,360.25,240.60,177.84,161.44
Fixed Assets +,30.94,39.45,237.75,237.95,239.43,236.22,216.74,197.20,222.06,78.01,73.81,70.84
CWIP,28.66,157.03,0.00,0.21,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00
Investments,24.82,0.41,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,78.14,75.24,64.86,91.51,112.15,126.83,125.52,127.07,138.19,162.59,104.03,90.60
Total Assets,162.56,272.13,303.01,329.67,351.58,363.05,342.64,324.27,360.25,240.60,177.84,161.44
