,Sep 2006,Sep 2007,Sep 2008,Dec 2009,Dec 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,318,412,354,643,458,615,371,486,540,571,608,386
Expenses +,244,400,331,490,427,564,320,359,563,597,553,480
Operating Profit,74,12,23,153,30,51,52,126,-23,-26,55,-94
OPM %,23%,3%,7%,24%,7%,8%,14%,26%,-4%,-4%,9%,-24%
Other Income +,5,17,32,6,28,9,6,11,37,9,26,16
Interest,24,27,27,44,38,29,26,126,140,107,80,84
Depreciation,19,20,20,27,20,27,22,61,25,24,24,24
Profit before tax,36,-18,9,88,0,4,10,-50,-150,-148,-23,-186
Tax %,40%,39%,49%,47%,"-1,244%",36%,46%,36%,32%,68%,32%,29%
Net Profit,22,-11,4,47,2,2,5,-33,-101,-47,-15,-133
EPS in Rs,17.57,-10.14,3.37,40.16,2.38,1.95,4.00,-18.70,-58.78,-26.35,-7.46,-69.91
