,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,32,32,32,32,32,26,26,24,24,24,24,24,24
Reserves,391,406,468,537,589,555,663,684,803,920,"1,048","1,312","1,445"
Borrowings +,169,104,129,159,222,334,345,514,642,658,467,506,502
Other Liabilities +,89,104,112,149,147,91,120,164,157,214,237,268,273
Total Liabilities,680,645,742,876,991,"1,006","1,154","1,387","1,626","1,816","1,776","2,111","2,244"
Fixed Assets +,173,167,150,150,158,163,203,245,319,480,424,420,417
CWIP,7,2,0,0,4,12,17,53,54,20,12,17,40
Investments,71,48,122,146,196,268,279,237,263,271,334,420,430
Other Assets +,430,428,469,580,633,563,655,851,989,"1,044","1,005","1,253","1,357"
Total Assets,680,645,742,876,991,"1,006","1,154","1,387","1,626","1,816","1,776","2,111","2,244"
