,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21,21,21,23,23,23,23,23,23,23
Reserves,649,740,809,908,"1,016","1,147","1,304","1,461","1,647","1,792","1,880","2,050","2,124"
Borrowings +,589,769,825,861,804,746,722,777,840,890,863,906,892
Other Liabilities +,303,382,432,460,493,505,523,632,691,659,538,626,645
Total Liabilities,"1,561","1,911","2,086","2,250","2,334","2,420","2,571","2,892","3,200","3,364","3,304","3,604","3,683"
Fixed Assets +,744,919,"1,010","1,145","1,154","1,147","1,100","1,200","1,279","1,349","1,281","1,314","1,337"
CWIP,119,135,148,45,43,71,87,94,98,81,40,70,73
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,698,858,929,"1,060","1,138","1,202","1,384","1,598","1,822","1,934","1,983","2,220","2,273"
Total Assets,"1,561","1,911","2,086","2,250","2,334","2,420","2,571","2,892","3,200","3,364","3,304","3,604","3,683"
