,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50
Reserves,28.13,32.01,39.81,47.19,50.76,46.60,47.34,47.94,48.69,49.24
Borrowings +,19.92,21.25,16.48,15.38,14.28,19.06,12.22,15.97,18.85,18.07
Other Liabilities +,11.13,9.98,11.09,11.62,12.80,12.78,11.76,13.27,10.96,18.40
Total Liabilities,68.68,72.74,76.88,83.69,87.34,87.94,80.82,86.68,88.00,95.21
Fixed Assets +,14.13,13.38,12.68,12.11,11.22,11.32,10.69,13.56,16.72,15.80
CWIP,4.47,4.22,4.35,4.35,4.35,4.65,4.65,5.27,5.27,5.27
Investments,1.14,1.14,1.14,1.14,1.14,0.02,0.02,0.02,0.02,0.02
Other Assets +,48.94,54.00,58.71,66.09,70.63,71.95,65.46,67.83,65.99,74.12
Total Assets,68.68,72.74,76.88,83.69,87.34,87.94,80.82,86.68,88.00,95.21
