,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11,11,11,261,261,267,271,11
Reserves,134,150,66,45,-27,-60,-92,-212,-238,-417,-508,-531,-68
Borrowings +,328,503,588,625,602,621,561,399,207,281,238,263,172
Other Liabilities +,628,562,711,625,782,730,718,893,700,695,684,625,260
Total Liabilities,"1,101","1,226","1,376","1,306","1,368","1,302","1,198","1,091",680,570,424,368,375
Fixed Assets +,158,258,268,282,245,226,209,194,113,23,20,18,17
CWIP,15,1,3,0,0,0,1,1,1,0,0,0,0
Investments,3,3,3,0,0,18,18,19,28,0,1,1,48
Other Assets +,924,965,"1,102","1,024","1,122","1,058",970,877,539,547,404,349,310
Total Assets,"1,101","1,226","1,376","1,306","1,368","1,302","1,198","1,091",680,570,424,368,375
