,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,29,29,29,29,29,30,30,31,31,31,31,31
Reserves,37,52,69,193,218,260,295,336,402,473,527,577,625
Borrowings +,0,0,1,-0,-0,-0,0,1,8,6,10,7,9
Other Liabilities +,30,34,41,49,51,57,60,80,100,109,115,140,157
Total Liabilities,95,116,140,271,299,347,385,446,541,618,683,755,822
Fixed Assets +,2,2,2,92,91,88,89,90,90,100,99,108,110
CWIP,0,0,0,-0,-0,-0,-0,-0,-0,1,1,2,2
Investments,0,0,0,0,0,1,1,1,4,4,5,21,37
Other Assets +,94,114,138,179,207,258,295,355,447,513,577,624,673
Total Assets,95,116,140,271,299,347,385,446,541,618,683,755,822
