,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2012,Mar 2013
Share Capital +,29,29,29,29,29,29,29,29
Reserves,158,251,416,653,899,"1,184","1,360",615
Borrowings +,76,142,894,"1,122","1,219","1,825","3,032","3,347"
Other Liabilities +,46,62,74,283,287,254,486,417
Total Liabilities,308,483,"1,413","2,087","2,434","3,292","4,908","4,408"
Fixed Assets +,73,227,380,838,"1,209","1,575","2,143","2,944"
CWIP,0,23,140,377,121,323,928,218
Investments,2,0,0,0,0,155,0,0
Other Assets +,233,234,893,873,"1,104","1,239","1,837","1,246"
Total Assets,308,483,"1,413","2,087","2,434","3,292","4,908","4,408"
