,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,127,137,176,123,117,110,68,80,81
Expenses +,92,101,126,98,123,109,94,85,78
Operating Profit,35,36,51,25,-6,1,-26,-5,3
OPM %,27%,26%,29%,20%,-5%,1%,-38%,-6%,3%
Other Income +,0,0,0,0,-1,-1,0,0,0
Interest,15,10,17,10,0,2,1,2,2
Depreciation,13,18,21,28,28,28,26,25,21
Profit before tax,7,8,13,-12,-35,-30,-53,-31,-20
Tax %,31%,33%,32%,-46%,0%,0%,-0%,0%,
Net Profit,5,5,9,-32,-50,-30,-53,-31,-20
EPS in Rs,,1.46,2.52,-9.17,-14.45,-8.61,-15.16,-8.56,-5.60
