,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,12,12,12,12,14,14,24,24,33,34,34
Reserves,10,4,1,16,18,14,129,162,564,597,583
Borrowings +,57,48,48,43,41,44,214,323,312,258,225
Other Liabilities +,25,39,24,26,31,44,146,334,165,395,455
Total Liabilities,104,104,85,97,105,116,512,842,"1,074","1,283","1,296"
Fixed Assets +,33,38,15,28,27,29,75,63,65,58,56
CWIP,0,0,0,0,0,0,2,1,0,0,0
Investments,0,0,0,0,0,0,2,114,218,119,117
Other Assets +,71,65,70,69,78,87,433,663,790,"1,106","1,123"
Total Assets,104,104,85,97,105,116,512,842,"1,074","1,283","1,296"
