,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,103,83,86,106,123,122,264,388,469,301,1
Expenses +,100,85,82,96,112,121,232,326,405,322,40
Operating Profit,3,-2,4,10,11,1,32,61,64,-20,-39
OPM %,3%,-2%,5%,9%,9%,1%,12%,16%,14%,-7%,"-7,220%"
Other Income +,2,2,-0,0,0,0,4,29,40,28,5
Interest,6,6,6,6,6,6,14,32,40,39,27
Depreciation,2,3,3,1,1,1,3,4,4,4,3
Profit before tax,-4,-9,-5,3,3,-6,19,54,59,-34,-65
Tax %,35%,30%,31%,29%,31%,28%,32%,40%,33%,18%,
Net Profit,-2,-6,-3,2,2,-5,13,33,40,-28,-54
EPS in Rs,,,,,0.31,-0.64,1.11,2.75,2.39,-1.70,-3.21
