,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1.00,4.19,5.68,5.68,11.36,11.36,11.36,11.36
Reserves,2.66,1.88,9.22,13.74,12.39,21.97,27.21,30.26
Borrowings +,5.86,6.39,14.72,26.89,32.33,39.71,33.35,32.81
Other Liabilities +,11.94,14.51,30.38,43.94,41.65,48.43,39.99,39.85
Total Liabilities,21.46,26.97,60.00,90.25,97.73,121.47,111.91,114.28
Fixed Assets +,1.23,3.37,6.77,11.73,12.04,9.94,9.11,8.68
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.27,0.46,0.07,0.07,0.07,0.07,0.07,0.07
Other Assets +,19.96,23.14,53.16,78.45,85.62,111.46,102.73,105.53
Total Assets,21.46,26.97,60.00,90.25,97.73,121.47,111.91,114.28
